total_account_count,total_income,total_product_count,total_profit,CA,AE,SG,AU,JP,SA,MX,active_months,status_code,packages_encoded,registration_source_encoded
1,0,0,0,1,0,0,0,0,0,0,52,1,0,3
1,0,0,0,1,0,0,0,0,0,0,52,1,0,3
1,0,0,0,1,0,0,0,0,0,0,52,1,0,3
0,0,0,0,0,0,0,0,0,0,0,52,1,0,3
1,0,0,0,1,0,0,0,0,0,0,52,1,0,3
0,0,6946,0,0,0,0,0,0,0,0,52,0,1,3
1,0,0,0,0,1,0,0,0,0,0,51,1,0,3
6,17103,12262,1691,1,1,1,1,1,1,0,51,0,2,3
1,0,0,0,1,0,0,0,0,0,0,50,1,0,3
1,0,0,0,1,0,0,0,0,0,0,50,1,0,3
1,5228,0,0,0,1,0,0,0,0,0,50,1,0,3
1,0,0,0,0,1,0,0,0,0,0,50,1,0,3
0,0,0,0,0,0,0,0,0,0,0,50,1,0,3
1,0,0,0,1,0,0,0,0,0,0,49,1,0,3
0,0,0,0,0,0,0,0,0,0,0,49,1,0,3
1,0,0,0,1,0,0,0,0,0,0,49,1,0,3
1,0,0,0,1,0,0,0,0,0,0,48,1,0,3
1,0,0,0,1,0,0,0,0,0,0,48,1,0,3
0,0,0,0,0,0,0,0,0,0,0,48,1,0,3
1,0,0,0,1,0,0,0,0,0,0,48,1,0,3
1,0,0,0,0,1,0,0,0,0,0,48,1,0,3
1,0,0,0,1,0,0,0,0,0,0,48,1,0,3
1,3028,0,0,0,1,0,0,0,0,0,48,1,0,3
1,0,0,0,0,1,0,0,0,0,0,48,1,0,3
1,0,0,0,0,1,0,0,0,0,0,48,1,0,3
1,0,0,0,0,1,0,0,0,0,0,48,1,0,3
1,1624,0,0,0,1,0,0,0,0,0,48,1,0,3
1,0,0,0,0,1,0,0,0,0,0,48,1,0,3
0,0,0,0,0,0,0,0,0,0,0,47,1,0,3
5,116876,0,440,0,1,0,0,1,0,0,47,1,0,3
1,0,0,0,0,1,0,0,0,0,0,47,1,0,3
1,0,0,0,1,0,0,0,0,0,0,47,1,0,3
